headline,text,label
Families of jailed Cuban protesters blocked from meeting US officials,"United States officials criticized the Cuban government on Wednesday for what it described as ""inhumane"" interference with the families of jailed Cuban protesters, some of whom were prevented from meeting with US diplomats in Havana.",national
"US bans Huawei, ZTE equipment sales amid Chinese spying fears","The Biden administration has banned approvals of new telecommunications equipment from China's Huawei Technologies and ZTE because they pose ""an unacceptable risk"" to US national security.",national
FTX's Bahamas unit files for bankruptcy in New York,"FTX Digital Markets, the Bahamas-based unit of the recently collapsed cryptocurrency trading platform, has filed for bankruptcy protection in the US.",national
CIA director visits Kyiv amid Russian missile strikes across Ukraine,"CIA Director Bill Burns traveled to Kyiv to meet with Ukrainian President Volodymyr Zelensky and his intelligence counterparts on Tuesday, according to a US official.",national
'It's like living in an igloo' People are turning off their heat as prices surge,"View the latest news and breaking news today for U.S., world, weather, entertainment, politics and health at CNN.com.",national
"More than 1,000 US flights delayed Sunday as major airports urge passengers to arrive early",A severe weather system across several parts of the United States has prompted the three major airports servicing New York City to urge passengers to arrive early for flights on what is expected to be one of the busiest travel days of the year.,national
US and China in first South China Sea encounter since Xi-Biden meeting,The United States and Chinese militaries exchanged harsh words Tuesday after a US Navy warship performed the first freedom of navigation operation (FONOP) in the South China Sea since the leaders of the two powers met earlier this month in an attempt to ease …,national
US climate envoy John Kerry tests positive for Covid-19 as UN summit heads into overtime,"With just hours left to go to reach an international climate agreement, US climate envoy John Kerry has tested positive for Covid-19 at the United Nations' COP27 climate summit in Sharm el-Sheikh, Egypt, his spokesperson Whitney Smith said.",national
'The worst is behind us': Hong Kong kicks off its finance summit with top global bankers,"Hong Kong leader John Lee sought to drum up confidence in the city's future as a global financial hub on Wednesday, as he welcomed some of Wall Street's top executives to its biggest international event in years.",national
Here's why the US has more tornadoes than any other country,"The US averages over 1,150 tornadoes every single year. That's more than any other country in the world. In fact, it's more than Canada, Australia and all European countries combined.",national
Naomi Biden chooses Ralph Lauren and Tiffany & Co. for elegant wedding outfit,"Less than two years after US President Joe Biden wore a Ralph Lauren suit to his inauguration ceremony, the brand has taken center stage at the White House once again.",national
Elon Musk hints that Donald Trump will not be back on Twitter before the midterms,"Elon Musk indicated on Wednesday that the Twitter account of former President Donald Trump will not be restored ahead of the US midterm elections next week, answering one of the biggest unknowns following his takeover of the social media company.",national
Shipping giant Maersk settles lawsuit filed by student allegedly raped at sea,Shipping giant Maersk has settled a lawsuit filed by a former US Merchant Marine Academy student who says she was raped while working on the company's ship when she was 19 years old.,national
The view from Europe on America's 'red tsunami' that wasn't,"David Andelman gives a rundown of how the US election was playing out on Paris newspaper stands Wednesday morning. Or, as France's leading newspaper Le Monde put it: ""A bad surprise for Republicans.""",national
A new airline is planning low-cost transatlantic flights,"Fly Atlantic, a new budget airline offering low cost transatlantic flights, plans to start operating in summer 2024. It will fly to the US from its Belfast base, as well as launching short-haul intra-European routes.",national
Global investors are bullish again on China as Beijing switches to damage control,Market sentiment on Chinese stocks hit rock bottom just weeks ago after President Xi Jinping secured a historic third term in power and stacked his top team with loyalists in a clean sweep not seen since the Mao era.,national
Wells are running dry in Southwest as foreign-owned farms feed cattle overseas,"View the latest news and breaking news today for U.S., world, weather, entertainment, politics and health at CNN.com.",national
"After promising trial results for maternal RSV vaccine, Pfizer says it will seek FDA approval this year","Pfizer says it has enough promising data on its respiratory syncytial virus, or RSV, vaccine designed to protect newborns that it will end enrollment in the study and submit for US Food and Drug Administration approval by the end of the year.",national
What the wave of tech layoffs tell us about the economy - CNN,"Friday's jobs report came in strong: the US economy added 261,000 new jobs in October, blowing away analyst expectations of 200,000, even as unemployment ticked up to 3.7%.",national
Why the birthplace of Islam is hosting one of the world's biggest raves,The country that has been better known as the birthplace of Islam than a rave capital has gone through a tremendous makeover since Crown Prince Mohammed bin Salman took control of the everyday running of the kingdom in 2017. Soundstorm is an eye-catching symb…,national
US curbs on microchips could throttle China's ambitions and escalate the tech war - CNN,"Chinese leader Xi Jinping's push to ""win the battle"" in core technologies and bolster China's position as a tech superpower could be severely undermined by Washington's unprecedented steps to limit the sale of advanced chips and chip-making equipment to the c…",national
How to get a year's worth of flights for $599,"Have you cut down on travel over the past couple of years and are wanting to make up for lost time? Always planned to see more of the US? Take a trip of a lifetime around your home country? Enter Frontier Airlines, and its new unlimited annual flight pass -- …",national
Travel: New fast rail projects in Europe and Asia,"We're more than halfway through the US Thanksgiving weekend, but the most expensive holiday travel season yet is just getting started. If you're planning a trip in the coming months, get prepped by reading air travel secrets as revealed by flight attendants.",national
"Asia must not become arena for 'big power contest,' says China's Xi as APEC summit gets underway","Chinese leader Xi Jinping has stressed the need to reject confrontation in Asia, warning against the risk of cold war tensions, as leaders gather for the last of three world summits hosted in the region this month.",national
"Robert Clary, 'Hogan's Heroes' star who survived the Holocaust, dead at 96","Paris-born actor and singer Robert Clary, who survived 31 months in Nazi concentration camps but later co-starred in ""Hogan's Heroes,"" the US sitcom set in a German World War II prisoner of war (POW) camp, has died at the age of 96.",national
Is the dollar's relentless rise coming to an end?,"The story of financial markets and the global economy this year has been written in part by the dramatic rise of the US dollar, whose inexorable ascent has sent shockwaves around the world. At last, however, its breakneck rally could be coming to an end.",national
US oil prices are at their lowest level in nearly a year. Gas is down 6% in a month,US oil prices have fallen to their lowest level since December 2021 on fears that protests in China against Covid-19 lockdowns will dent demand.,national
Immigration officials say Pelosi attacker was in US illegally,"David DePape, the man accused of violently attacking Paul Pelosi last week, was in the United States illegally and may face deportation, the Department of Homeland Security said late Wednesday.",national
What midterm elections could mean for the US economy,"Tuesday's midterm elections come at a time of economic vulnerability for the United States. Recession predictions have largely turned to ""when"" not ""if"" and inflation remains stubbornly elevated. Americans are feeling the pain of rising interest rates and are…",national
Missouri school PTA says US Army Corps of Engineers findings on radioactive contamination contradict past sampling,"After an independent report found an elementary school outside St. Louis had ""unacceptable"" levels of radioactive contamination, preliminary results of testing for radioactive materials by the US Army Corps of Engineers showed ""no presence of radioactive mate…",national
"US lung cancer survival rate rises 21%, report says, but much work remains","The five-year lung cancer survival rate has increased 21%, from 21% in 2014 to 25% in 2018, making what experts call ""remarkable progress"" -- but it is still the leading cause of cancer death in the United States.",national
US Freight rail strike could cost US economy $1 billion in first week,"A US freight rail strike could cost the US economy $1 billion in the first week of the strike, according to a new analysis from the Anderson Economic Group.",national
Cartoons and Quranic verses form the latest Saudi-Iran battleground,"The animated simulation shows a fleet of drones approaching an oil facility belonging to Aramco, Saudi Arabia's state oil company. Air raid sirens are heard with ominous background music as the drones aim at the facility, apparently ready to strike.",national
"With a strike looming, railroad unions and management head back to negotiating table","With a crippling freight rail strike looming in two weeks, leaders of four railroad unions and management of the major US freight railroads are due back at the negotiating table Tuesday afternoon.",national
US Customs and Border Protection commissioner resigns,"President Joe Biden has accepted the resignation of US Customs and Border Protection Commissioner Christopher Magnus, the White House said Saturday.",national
US embassy convoy attacked in Haiti,"A US embassy convoy was attacked in Haiti on Monday, according to a senior US official and a State Department spokesperson.",national
China resumes streaming South Korean content after six-year suspension,"A Chinese streaming platform has resumed distributing South Korean content after suspending it for nearly six years, South Korean officials said on Tuesday, in what Seoul called a sign of Beijing's readiness to improve ties.",national
Federal judge blocks Title 42 rule that allowed expulsion of migrants at US-Mexico border,A federal judge on Tuesday blocked Title 42 -- a controversial rule that's allowed US authorities to expel more than 1 million migrants who crossed the US-Mexico border.,national
Texas veteran who entered Senate chamber in military gear on January 6 found guilty,"A Texas man who served in the US Air Force was convicted on Wednesday of six charges in the US Capitol attack on January 6, 2021, when prosecutors say he entered the Senate chamber dressed in military gear.",national
"Abortion rates fell slightly in 2020, with most done at or before 9 weeks, says CDC","Both the number and rate of abortions reported in the US fell 2% from 2019 to 2020, according to new data from the US Centers for Disease Control and Prevention.",national
Children's health leaders call for emergency response as respiratory viruses continue to spread across the US,"Seasonal flu activity is ""elevated across the country,"" with ""high"" or ""very high"" respiratory virus activity in more than half of US states, according to an update published Friday by the US Centers for Disease Control and Prevention.",national
US intercepts shipment of explosive material going from Iran to Yemen,"US Naval Forces intercepted a ""large quantity"" of explosive material in the Gulf of Oman heading to Yemen from Iran last week, according to a statement from US Naval Forces Central Command.",national
Home prices rose almost everywhere in the US this summer,"In case you needed more evidence of how much home prices have skyrocketed: Even as the housing market was cooling over the summer, prices still rose in 98% of US markets, according to a new report.",national
Americans are feeling worse about the US economy,"Consumers were feeling slightly worse about the US economy in November, amid punishing rate hikes and decades-high inflation, according to a closely followed University of Michigan survey released Friday.",national
Biden administration projecting daily migrant border crossings could double when Trump-era policy ends,"The Department of Homeland Security is projecting between 9,000 to 14,000 migrants may attempt to cross the US southern border a day when a Trump-era border policy ends in late December, more than double the current number of people crossing, according to a s…",national
US consumers borrowed $25 billion more in September,"American consumers borrowed another $25 billion in September, according to newly released Federal Reserve data, as higher costs led to further dependence on credit cards and other loans.",national
US debt: Federal interest payments could soon exceed military spending,"The Federal Reserve's war on inflation isn't just painful for home buyers and people with credit card debt. Uncle Sam is getting squeezed by higher borrowing costs, too.",national
A non-American's guide to the 2022 US midterms,Can Joe Biden avoid the midterm elections curse?,national
US-China meeting lays groundwork for stronger economic ties,"Officials attending the first US-China summit under the new Biden administration in March 2021 exchanged undiplomatic words, highlighting a tense relationship between the world's two largest economies grappling with a simmering trade war.",national
Opinion: Why I saw myself in 'My Policeman',"'My Policeman' reminds those of us in the LGBTQ community that the 1950s weren't the good old days for us (and a lot of others), writes former Bishop V. Gene Robinson. The film's emotional impact is a cautionary tale that unless we wake up and vote and speak …",national
China's Xi Jinping lectures Justin Trudeau over alleged leaks,"Chinese leader Xi Jinping was captured by Canadian broadcasters in a rare candid moment on Wednesday, where he was filmed chiding his Canadian counterpart, Prime Minister Justin Trudeau, over what he described as ""leaked"" discussions.",national
"Even though markets were bearish, 401(k) participants kept investing last quarter","Stocks and bonds have been turning in volatile, bearish performances this year in an economy marked by high inflation and rising interest rates. But that hasn't deterred most retirement savers, especially the youngest ones.",national
The doubters said Gen Z wouldn't show up at the polls. They were wrong,"""Gen Z voters have grown up in a country that always protected our bodily autonomy. Having it stripped away, by individuals who don't represent the vast majority of us, woke a lot of us up to the importance of voting. That's a lesson we won't soon unlearn,"" w…",national
Big moments for women at the men's World Cup,"An unexpected result of the US Men's National Team reaching the knockout round of 16 at the FIFA World Cup is that the US Women's National Team will get its largest collective payday. Meanwhile, watch for the first all-women refereeing team to debut at the Wo…",national
Investors have very little to be thankful for in 2022 - CNN,Americans are getting ready to celebrate Thanksgiving. But investors in the United States (and the rest of the world for that matter) don't have much to be grateful for in what is turning out to be a rotten 2022.,national
5 rules for watching a complicated World Cup,"There are reasons to skip the FIFA World Cup hosted by Qatar, including concerns about human rights, gay rights and corruption. But if you do watch, here are informal rules on which countries to root for and why.",national
"Opinion: Ahead of the World Cup, the 'first' openly gay Qatari speaks out","Dr. Nasser ""Nas"" Mohamed is said to be the first gay Qatari to come out publicly. He did it to raise awareness about the existence and mistreatment of LGBTQ people in Qatar before the 2022 FIFA World Cup. ""Our voices and our journeys matter,"" he says.",national
Opinion: Five lessons of election week,"Voters had their say, making clear that for many, the future of democracy and abortion rights ranked high as issues, that extremism worries them and that despite President Joe Biden's low approval rating, they are even more likely to disapprove of former Pres…",national
"Opinion: For many Americans, this election is deeply personal","With the election nearly here, it's time to hear from CNN Opinion readers about what's most urgent for them in these upcoming votes. Since the end of August, CNN Opinion has been collecting and curating these stories, focusing on illuminating how policy issue…",national
Unconfirmed Liz Truss phone hack report prompts calls for investigation,The UK government is facing calls to investigate after an unconfirmed media report claimed former British Prime Minister Liz Truss' phone was hacked while she was foreign secretary.,national
UK leader Rishi Sunak U-turns on COP27 climate summit and will attend after all,"UK Prime Minister Rishi Sunak said Wednesday that he will be attending next week's COP27 climate summit in Egypt, following widespread criticism of his previous decision not to.",national
Russia's war in Ukraine,President Volodymyr Zelensky presented a 10-point peace plan to end Russia's invasion of Ukraine in a video speech to G20 leaders. Follow live updates here.President Volodymyr Zelensky presented a 10-point peace plan to end Russia's invasion of Uk,national
Rich countries are trying to hit pause on climate summit's key issue,"The US, EU and UK are united against establishing a new fund this year to help the world's developing nations -- which have contributed little to the climate crisis -- recover from climate disasters.",national
This couple drove across the world in a Land Rover in the 1970s,"UK travelers Alec and Jan Forman drove across Europe, Africa and Asia in a Land Rover back in 1977, relying on a compass and various maps to guide them through 29 different countries, including Afghanistan and Iran.",national
The couple traveling the world in ambulance they bought on eBay,UK couple Lawrence Dodi and Rachel Nixon are currently a year into a global journey across more than 60 countries in a bid to set the Guinness World Record for the longest journey undertaken in an ambulance.,national
What the South African state visit tells us about the new monarchy,"Another week, another set of firsts for the new King. This time round, Charles III hosted the first state visit of his reign and welcomed South African President Cyril Ramaphosa to the UK.",national
Britain's asylum system is broken after years of political neglect. Thousands are caught in the middle,"The number of asylum claims processed in the UK has collapsed in recent years, leaving people in limbo for months and years -- trapped in processing facilities or temporary hotels and unable to work -- and fueling an intractable debate about Britain's borders.",national
University of Kentucky student who repeatedly hurled racist slur at Black student permanently banned from campus,"The student facing assault charges after she repeatedly hurled a racial slur at a Black student on campus early Sunday morning has been permanently banned from campus and could face additional charges, the University of Kentucky president said.",national
Where did Earth's water come from? This meteorite might hold the answer,"If you've ever wondered where water on Earth comes from, new research on a meteorite which landed in a family's front yard in England last year may have just the answer.",national
"England and Wales are no longer majority Christian, census data show","England and Wales are no longer majority Christian, and are slightly less White than a decade ago, newly released 2021 census data show.",national
"Rugby player Levi Davis missing in Spain for over a week, former team says","Former rugby player Levi Davis has been reported missing for over a week, his former club said in an appeal for any information pertaining to his whereabouts.",national
Some see dead space on the side of the road. These groups see a potential haven for wildlife,"A growing number of conservationists are turning to road verges, the often-overlooked grassy areas we drive past every day, to look for solutions to the biodiversity and climate crises.",national
GOP Rep. Brad Wenstrup's niece killed in Seoul crowd surge,"Rep. Brad Wenstrup's niece, Anne Marie Gieske, died in the Halloween crowd surge in Seoul over the weekend, the Ohio Republican said in a statement Monday.",national
"Nick Kyrgios settles legal case with Wimbledon fan he accused of being 'drunk out of her mind,' her lawyers say","The lawyers for a Wimbledon spectator accused by Nick Kyrgios of being 'drunk out of her mind,' have released an apology from the tennis star and say their client's claim has been resolved.",national
Uruguay vs South Korea and other World Cup news and highlights,The latest coverage from the World Cup in Qatar. Follow the live updates.The latest coverage from the World Cup in Qatar. Follow the live updates.,national
Biden celebrated a major victory on climate this year. But this issue could prove insurmountable,President Joe Biden arrives Friday at the UN's COP27 summit in Egypt with a climate change victory in-hand: a massive US law passed this year that experts have told CNN will go far to help transition the country to renewable energy.,national
What fans can't do in Qatar,"After years of anticipation -- and controversy -- since Qatar was awarded the World Cup, the tournament finally got underway on Sunday in Doha.",national
Biden holds emergency roundtable with world leaders at the G20 Summit after 'Russian-made missile' falls on Polish village,US President Joe Biden begins his final day at the Group of 20 Summit dealing with another crisis surrounding Russia's war in Ukraine -- this time involving a NATO ally.,national
West Ham star Kurt Zouma expresses 'great remorse' for kicking cat,"West Ham defender Kurt Zouma has said that he is ""very, very sorry"" after kicking and slapping a cat in February, as he reflected on a ""difficult spell for me and my family"" in an interview with his club website.",national
"US convenes over 30 countries to address ransomware as hacks of hospitals, critical infrastructure continue",The Biden administration will convene three-dozen allied governments on Monday and Tuesday for a fresh round of talks on how to stem the tide of ransomware attacks that have disrupted critical infrastructure firms around the world and cost businesses many mil…,national
World Cup news and highlights,Host country Qatar faces Ecuador in the first match of the 2022 World Cup at 11 a.m. ET. Follow live updates here.Host country Qatar faces Ecuador in the first match of the 2022 World Cup at 11 a.m. ET. Follow live updates here.,national
Prince William's Earthshot prize announces finalists,"The Earthshot Prize, an ambitious initiative founded by Prince William to help tackle some of the planet's most pressing environmental challenges, has unveiled its 15 finalists for the 2022 edition.",national
'It's not safe and it's not right.' Qatar says all are welcome to the World Cup but some LGBTQ soccer fans are staying away,"""I'm a man and I love men. I do -- please don't be shocked -- have sex with other men. This is normal. So please get used to it, or stay out of football.""",national
NFL Week 11 Preview: Bills and Browns escape blizzards in Buffalo,The Buffalo Bills (6-3) and Cleveland Browns (3-6) were supposed to square off at Highmark Stadium in Buffalo this Sunday.,national
"NFL Week 10 preview: Tom Brady, Tampa Bay Buccaneers face Seattle Seahawks in Germany","Week 10 features the first-ever regular season game played in Germany. The Tampa Bay Buccaneers (4-5) will face the Seattle Seahawks (6-3) in front of nearly 75,000 spectators at Allianz Arena in Munich.",national
"Prehistoric humans were surprisingly creative cooks, two new studies suggest","Stone Age cooks were surprisingly sophisticated, combining an array of ingredients and using different techniques to prepare and flavor their meals, analysis of some the earliest charred food remains has suggested.",national
Scientists' detective work uncovers record of a valuable fossil destroyed in a WWII bombing raid,"The first complete skeleton of a prehistoric marine reptile was thought to be lost forever in a bombing raid in London in 1941. While the actual bones are long gone, a chance discovery has resurrected two casts of the famous fossil.",national
"NFL Thanksgiving Day previews: Bills, Cowboys, Vikings in action","This Thursday, homes across the United States will be full of two things: food and football. The National Football League's annual Thanksgiving Day triple-header returns for what is sure to be an exciting slate of showdowns.",national
"Canada makes World Cup return after 36-year absence, and other day four highlights in Qatar","Some of soccer's biggest names -- notably Croatia's Luka Modrić and Kevin De Bruyne of Belgium -- will begin their World Cup campaigns on Wednesday, while the decades-long wait is nearly over for Canada fans as their team makes its tournament bow for the firs…",national
Climate activists protested during Biden's speech and got kicked out of the COP27 summit,Four American climate activists have been kicked out of the COP27 UN climate talks in Egypt after protesting during US President Joe Biden's speech on Friday.,national
Brazil looks to book place in knockout stage without injured star man Neymar,"The image of Neymar limping off the pitch, his right ankle visibly swollen, would have left millions of Brazil fans fearing the worst.",national
"Ukraine suffered a comms outage when 1,300 SpaceX satellite units went offline over funding issues","Ukraine's fears that its troops  may lose access to Elon Musk's crucial Starlink internet service deepened in the past week after 1,300 of the military's satellite units went offline, according to  two sources familiar with the outage.",national
Prominent US academics urge Biden to do more to help anti-government protesters in Iran,"More than 2,000 academics from universities across the United States have written to President Joe Biden urging him to do more to support the anti-government protesters in Iran, many of whom are coming out of Iranian universities and schools as young Iranians…",national
"A comedian has apparently shredded 10,000 over David Beckham's role as Qatar's World Cup ambassador","A British comedian appeared to shred £10,000 ($11,000) in a video after failing to receive a response from David Beckham over his controversial role as a Qatar World Cup ambassador.",national
Lionel Messi and Argentina face crunch game against Poland,It was meant to be Lionel Messi's crowning moment for Argentina -- the tournament in which he steps out of Diego Maradona's shadow for the national team -- but the 2022 World Cup has been a mixed experience for the 35-year-old so far.,national
Fans around the world flock to watch Lionel Messi play at Qatar 2022,Walk around Doha and it isn't long before you hear people talking about Lionel Messi.,national
